dt_start,lat,lon,MAG,WFO,TYPETEXT,field_1,inScanTime,valid_sites,radar_path
2023-04-19 22:59:00,35.73,-97.48,1.75,OUN,HAIL,933044,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/19/KTLX/KTLX20230419_225838_V06']
2023-04-19 23:00:00,35.26,-97.6,1.5,OUN,HAIL,933046,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/19/KTLX/KTLX20230419_225838_V06']
2023-04-19 23:00:00,35.26,-97.6,3.0,OUN,HAIL,933049,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/19/KTLX/KTLX20230419_225838_V06']
2023-04-19 23:01:00,35.62,-97.55,2.0,OUN,HAIL,933051,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/19/KTLX/KTLX20230419_225838_V06']
2023-04-19 23:01:00,35.63,-97.54,2.25,OUN,HAIL,933052,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/19/KTLX/KTLX20230419_225838_V06']
2023-04-19 23:05:00,35.5,-97.74,1.5,OUN,HAIL,933056,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/19/KTLX/KTLX20230419_230340_V06']
2023-04-19 23:05:00,35.5,-97.72,1.75,OUN,HAIL,933057,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/19/KTLX/KTLX20230419_230340_V06']
2023-04-19 23:09:00,35.24,-97.5,1.0,OUN,HAIL,933060,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/19/KTLX/KTLX20230419_230841_V06']
2023-04-19 23:09:00,35.54,-97.66,1.5,OUN,HAIL,933061,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/19/KTLX/KTLX20230419_230841_V06']
2023-04-19 23:13:00,35.57,-97.64,1.75,OUN,HAIL,933066,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/19/KTLX/KTLX20230419_230841_V06']
2023-04-19 23:14:00,35.22,-97.48,1.75,OUN,HAIL,933068,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/19/KTLX/KTLX20230419_231343_V06']
