stormdate,Unnamed: 0,event_id,efscale,windspeed,injuries,deaths,lat,lon,office,dt_valid,inScanTime,valid_sites,radar_path
2023-04-20 00:30:00,129783,Cole-Goldsby,1.0,110,0.0,0.0,35.1332,-97.5231,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-20 02:13:00,129784,,1.0,93,0.0,0.0,35.3333,-97.1552,OUN,2023-04-20 02:13:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_020928_V06']
2023-04-20 02:13:00,129785,,0.0,74,0.0,0.0,35.3267,-97.1421,OUN,2023-04-20 02:13:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_020928_V06']
2023-04-20 02:13:00,129786,,0.0,74,0.0,0.0,35.321,-97.1246,OUN,2023-04-20 02:13:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_020928_V06']
2023-04-20 02:13:00,129787,,1.0,93,0.0,0.0,35.3246,-97.1278,OUN,2023-04-20 02:13:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_020928_V06']
2023-04-20 02:13:00,129788,,0.0,74,0.0,0.0,35.3096,-97.1193,OUN,2023-04-20 02:13:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_020928_V06']
2023-04-20 02:13:00,129789,,0.0,74,0.0,0.0,35.3042,-97.1136,OUN,2023-04-20 02:13:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_020928_V06']
2023-04-20 02:13:00,129790,,1.0,107,0.0,0.0,35.2997,-97.1084,OUN,2023-04-20 02:13:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_020928_V06']
2023-04-20 02:13:00,129917,,0.0,78,0.0,0.0,35.3184,-97.125,OUN,2023-04-20 02:13:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_020928_V06']
2023-04-20 02:13:00,129918,,1.0,94,0.0,0.0,35.3254,-97.1394,OUN,2023-04-20 02:13:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_020928_V06']
2023-04-20 02:13:00,129919,,1.0,107,0.0,0.0,35.3102,-97.1176,OUN,2023-04-20 02:13:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_020928_V06']
2023-04-20 02:13:00,129920,,1.0,90,0.0,0.0,35.2827,-97.1028,OUN,2023-04-20 02:13:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_020928_V06']
2023-04-20 02:13:00,129921,,1.0,87,0.0,0.0,35.2858,-97.104,OUN,2023-04-20 02:13:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_020928_V06']
2023-04-20 02:13:00,129922,,1.0,93,0.0,0.0,35.2888,-97.1073,OUN,2023-04-20 02:13:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_020928_V06']
2023-04-20 00:30:00,129926,Cole-Goldsby,1.0,107,0.0,0.0,35.0961,-97.5823,OUN,2023-04-20 00:30:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_002926_V06']
2023-04-20 02:13:00,129927,,1.0,94,0.0,0.0,35.2966,-97.1081,OUN,2023-04-20 02:13:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_020928_V06']
2023-04-20 02:13:00,129928,,1.0,107,0.0,0.0,35.2833,-97.1036,OUN,2023-04-20 02:13:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_020928_V06']
2023-04-20 02:13:00,129929,,0.0,70,0.0,0.0,35.2856,-97.104,OUN,2023-04-20 02:13:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_020928_V06']
2023-04-20 02:13:00,129930,,1.0,93,0.0,0.0,35.2886,-97.1054,OUN,2023-04-20 02:13:00,True,['KTLX'],['s3://unidata-nexrad-level2/2023/04/20/KTLX/KTLX20230420_020928_V06']
